4	9289
5	6390
6	5597
7	5057
8	4648
9	4482
10	4312
11	4220
12	4058
13	4032
14	3947
15	3964
16	3956
17	3906
18	3848
19	3944
20	3908
22	4964
24	4907
26	4445
28	4060
30	3896
33	4054
36	3978
39	4014
42	3854
46	3947
50	3970
55	3996
60	3941
66	3923
72	3943
79	3929
86	3899
94	3956
103	3993
113	3955
124	3985
136	3977
149	4026
163	4014
179	3953
196	3959
215	4010
236	4049
259	3951
284	3967
312	4091
343	4039
377	3959
414	3906
455	3992
500	3945
550	3952
605	3940
665	3960
731	3965
804	3988
884	3947
972	3996
1069	3951
1175	4024
1292	5285
1421	5283
1563	5256
1719	5257
1890	5308
2079	5311
2286	5291
2514	5337
2765	5300
3041	5291
3345	5280
3679	5247
4046	5317
4450	5312
4895	5358
5384	5306
5922	5314
6514	5299
7165	6165
7881	5666
8669	5447
9535	5747
10488	5338
11536	5382
12689	5383
13957	5369
15352	5364
16887	5371
18575	5363
20432	5444
22475	5408
24722	5403
27194	5578
29913	5523
32904	5489
36194	5530
39813	5562
43794	5459
48173	5462
52990	5489
58289	5617
64117	5492
70528	5532
77580	5602
85338	5502
93871	5540
103258	5609
113583	5564
124941	5533
137435	5550
151178	5604
166295	5510
182924	5517
201216	5586
221337	5510
243470	5500
267817	5519
294598	5535
324057	5567
356462	5558
392108	5545
431318	5565
474449	5562
521893	5521
574082	5499
631490	5575
694639	5546
764102	5573
840512	5577
924563	5644
1017019	5616
1118720	5621
1230592	5599
1353651	5661
1489016	5629
1637917	5624
1801708	5634
1981878	5653
2180065	5968
2398071	5731
2637878	5623
2901665	5636
3191831	5737
3511014	5622
3862115	5589
4248326	5635
4673158	5718
5140473	5593
5654520	5672
6219972	5736
6841969	5685
7526165	5726
8278781	5734
9106659	5802
10017324	5666
11019056	5679
12120961	5696
13333057	5720
14666362	5679
16132998	5723
17746297	5704
19520926	5706
21473018	5715
23620319	5773
25982350	5888
28580585	5719
31438643	5796
34582507	5751
38040757	5743
41844832	5666
46029315	5740
50632246	5781
55695470	5788
61265017	5738
67391518	5728
74130669	5804
81543735	5757
89698108	5755
98667918	5838
108534709	5813
119388179	5763
131326996	5756
144459695	5791
158905664	5776
174796230	5825
192275853	5810
211503438	5857
232653781	5777
255919159	5855
281511074	5862
309662181	5860
340628399	5848
374691238	5800
412160361	5889
453376397	5823
498714036	5802
548585439	5852
603443982	5915
663788380	5922
730167218	5961
803183939	5973
883502332	5958
971852565	5976
1069037821	5968
1175941603	5985
1293535763	6060
1422889339	5966
1565178272	5992
1721696099	6159
1893865708	6251
2083252278	6123
